instance,centers_number,size,p,iteration,max_distance_k_mean_1,silhouette_k_mean_1,adjusted_rand_k_mean_1,execution_time_k_mean_1,max_distance_k_mean_2,silhouette_k_mean_2,adjusted_rand_k_mean_2,execution_time_k_mean_2,max_distance_k_means_skt,execution_time_k_means_skt,silhouette_k_means_skt,adjusted_rand_k_means_skt,estimated
center_10_poker-hand-training-true_without_headers.csv,10,25009,1,1,28.0,0.0711668536756827,0.0011986959492370569,13.347460269927979,28.0,0.0773745213705731,0.0006646454683507848,7.906785011291504,30.0,21.85939860343933,0.054131080964658296,0.0024780445963028157,65.0
center_10_poker-hand-training-true_without_headers.csv,10,25009,1,2,28.0,0.06507785751973136,-0.0035908208801420653,12.871640682220459,29.0,0.07822440790714555,0.0006826185312381157,6.197954893112183,30.0,19.712228298187256,0.054131080964658296,0.0024780445963028157,65.0
center_10_poker-hand-training-true_without_headers.csv,10,25009,1,3,28.0,0.06716663445353807,-8.908819011223372e-05,8.85525107383728,29.0,0.07861314181597123,-0.000399286269288534,6.212716341018677,30.0,20.135249137878418,0.054131080964658296,0.0024780445963028157,65.0
center_10_poker-hand-training-true_without_headers.csv,10,25009,1,4,27.0,0.06122763686888506,-0.00033449780584940674,7.597796678543091,28.0,0.08441425426238161,0.0005101556390265826,6.3726325035095215,30.0,18.550123929977417,0.054131080964658296,0.0024780445963028157,65.0
center_10_poker-hand-training-true_without_headers.csv,10,25009,1,5,27.0,0.06668216254521936,0.0009486648126513624,7.14056921005249,29.0,0.07575741995595871,0.0014697461973762155,6.534366607666016,30.0,18.262460470199585,0.054131080964658296,0.0024780445963028157,65.0
center_10_poker-hand-training-true_without_headers.csv,10,25009,1,6,27.0,0.04490111433739075,0.00020359771463059656,7.014151096343994,28.0,0.07245893332645241,0.0017385651245723915,6.219310760498047,30.0,18.09835124015808,0.054131080964658296,0.0024780445963028157,65.0
center_10_poker-hand-training-true_without_headers.csv,10,25009,1,7,27.0,0.05727131074133615,0.000285030741337708,7.020777940750122,28.0,0.07253096167158819,0.0029862445013756457,6.279388666152954,30.0,17.98439383506775,0.054131080964658296,0.0024780445963028157,65.0
center_10_poker-hand-training-true_without_headers.csv,10,25009,1,8,28.0,0.06994554023480495,-0.0007920545968268832,7.30083703994751,28.0,0.07831904955548055,-0.0002000277865393376,6.1821129322052,30.0,19.107123613357544,0.054131080964658296,0.0024780445963028157,65.0
center_10_poker-hand-training-true_without_headers.csv,10,25009,1,9,28.0,0.060031573163264684,0.0006700682453235129,8.90535831451416,28.0,0.07719807035231004,0.003474238754367967,6.404519081115723,30.0,20.281479835510254,0.054131080964658296,0.0024780445963028157,65.0
center_10_poker-hand-training-true_without_headers.csv,10,25009,1,10,27.0,0.06826609837069611,-0.0010424173418529864,7.8236589431762695,29.0,0.08812177967619564,0.0009494539371722054,6.341382265090942,30.0,22.896854639053345,0.054131080964658296,0.0024780445963028157,65.0
